INFO:tensorflow:loss = 4.1391172, step = 9300 (31.650 sec)
INFO:tensorflow:loss = 3.5304556, step = 9400 (31.769 sec)
INFO:tensorflow:loss = 4.3080773, step = 9500 (31.721 sec)
INFO:tensorflow:loss = 4.358635, step = 9600 (31.747 sec)
INFO:tensorflow:loss = 4.0015516, step = 9700 (31.830 sec)
INFO:tensorflow:loss = 4.435525, step = 9800 (31.710 sec)
INFO:tensorflow:loss = 4.1297355, step = 9900 (31.766 sec)
INFO:tensorflow:loss = 4.3681674, step = 10000 (35.776 sec)
INFO:tensorflow:loss = 4.2197723, step = 10100 (31.667 sec)
INFO:tensorflow:loss = 4.459572, step = 10200 (32.137 sec)
INFO:tensorflow:loss = 5.4173512, step = 10300 (31.805 sec)
INFO:tensorflow:loss = 4.198613, step = 10400 (31.858 sec)
INFO:tensorflow:loss = 5.1278696, step = 10500 (31.763 sec)
INFO:tensorflow:loss = 4.2430863, step = 10600 (31.720 sec)
INFO:tensorflow:loss = 5.0720735, step = 10700 (31.757 sec)
INFO:tensorflow:loss = 4.2533207, step = 10800 (31.715 sec)
INFO:tensorflow:loss = 4.2364945, step = 10900 (31.758 sec)
INFO:tensorflow:loss = 4.5733376, step = 11000 (86.545 sec)
INFO:tensorflow:loss = 4.465513, step = 11100 (31.640 sec)
INFO:tensorflow:loss = 4.0447307, step = 11200 (31.699 sec)
INFO:tensorflow:loss = 3.7029073, step = 11300 (31.762 sec)
INFO:tensorflow:loss = 3.9524074, step = 11400 (31.721 sec)
INFO:tensorflow:loss = 3.5416896, step = 11500 (31.626 sec)
INFO:tensorflow:loss = 4.4689436, step = 11600 (31.813 sec)
INFO:tensorflow:loss = 3.7939277, step = 11700 (31.928 sec)
INFO:tensorflow:loss = 4.2757626, step = 11800 (31.820 sec)
INFO:tensorflow:loss = 4.446849, step = 11900 (31.726 sec)
INFO:tensorflow:loss = 4.3032556, step = 12000 (35.887 sec)
INFO:tensorflow:loss = 3.8895454, step = 12100 (31.765 sec)
INFO:tensorflow:loss = 4.8612423, step = 12200 (31.875 sec)
INFO:tensorflow:loss = 3.8401616, step = 12300 (31.755 sec)
INFO:tensorflow:loss = 3.9031634, step = 12400 (31.773 sec)
INFO:tensorflow:loss = 4.332049, step = 12500 (31.658 sec)
INFO:tensorflow:loss = 4.1473145, step = 12600 (31.778 sec)
INFO:tensorflow:loss = 3.9574265, step = 12700 (31.616 sec)
INFO:tensorflow:loss = 5.231696, step = 12800 (31.580 sec)
INFO:tensorflow:loss = 4.4794154, step = 12900 (31.553 sec)
INFO:tensorflow:loss = 4.379624, step = 13000 (85.872 sec)
INFO:tensorflow:loss = 3.34853, step = 13100 (31.513 sec)
INFO:tensorflow:loss = 3.9251242, step = 13200 (31.567 sec)
INFO:tensorflow:loss = 3.613831, step = 13300 (31.591 sec)
INFO:tensorflow:loss = 4.1199927, step = 13400 (31.636 sec)
INFO:tensorflow:loss = 3.9280689, step = 13500 (31.422 sec)
INFO:tensorflow:loss = 4.0921636, step = 13600 (31.679 sec)
INFO:tensorflow:loss = 4.3830047, step = 13700 (31.666 sec)
INFO:tensorflow:loss = 4.3771634, step = 13800 (31.653 sec)
INFO:tensorflow:loss = 4.4610896, step = 13900 (31.575 sec)
INFO:tensorflow:loss = 3.7344975, step = 14000 (35.363 sec)
INFO:tensorflow:loss = 4.6858363, step = 14100 (31.618 sec)
INFO:tensorflow:loss = 4.659382, step = 14200 (31.860 sec)
INFO:tensorflow:loss = 4.330127, step = 14300 (31.739 sec)
INFO:tensorflow:loss = 4.0073295, step = 14400 (31.688 sec)
INFO:tensorflow:loss = 3.7827272, step = 14500 (31.760 sec)
INFO:tensorflow:loss = 3.8751028, step = 14600 (31.678 sec)
INFO:tensorflow:loss = 4.3669305, step = 14700 (31.691 sec)
INFO:tensorflow:loss = 4.1053686, step = 14800 (31.471 sec)
INFO:tensorflow:loss = 3.5761175, step = 14900 (31.501 sec)
INFO:tensorflow:loss = 4.472284, step = 15000 (86.404 sec)
INFO:tensorflow:loss = 4.1064124, step = 15100 (31.757 sec)
INFO:tensorflow:loss = 4.1195564, step = 15200 (31.645 sec)
INFO:tensorflow:loss = 4.1579237, step = 15300 (31.570 sec)
INFO:tensorflow:loss = 3.763376, step = 15400 (31.657 sec)
INFO:tensorflow:loss = 4.9334903, step = 15500 (31.675 sec)
INFO:tensorflow:loss = 4.465541, step = 15600 (31.663 sec)
INFO:tensorflow:loss = 4.351474, step = 15700 (31.757 sec)
INFO:tensorflow:loss = 3.9467354, step = 15800 (31.616 sec)
INFO:tensorflow:loss = 3.0574834, step = 15900 (31.775 sec)
INFO:tensorflow:loss = 4.244638, step = 16000 (35.732 sec)
INFO:tensorflow:loss = 2.9086387, step = 16100 (31.664 sec)
INFO:tensorflow:loss = 3.4490345, step = 16200 (31.941 sec)
INFO:tensorflow:loss = 3.5724149, step = 16300 (31.757 sec)
INFO:tensorflow:loss = 4.1523247, step = 16400 (31.741 sec)
INFO:tensorflow:loss = 4.6057115, step = 16500 (31.722 sec)
INFO:tensorflow:loss = 3.698102, step = 16600 (31.646 sec)
INFO:tensorflow:loss = 3.8164468, step = 16700 (31.575 sec)
INFO:tensorflow:loss = 4.4304814, step = 16800 (31.749 sec)
INFO:tensorflow:loss = 4.8647676, step = 16900 (31.606 sec)
